time,Gain
2022-11-15 10:35:54.8180,26.41
2022-11-15 10:35:54.8280,26.41
2022-11-15 10:35:54.8340,42.21052932739258
2022-11-15 10:35:54.8380,42.21
2022-11-15 10:35:54.8770,42.21
2022-11-15 10:35:54.8770,42.21
2022-11-15 10:35:54.8770,42.21
2022-11-15 10:35:54.8780,42.21
2022-11-15 10:35:54.8880,42.21
2022-11-15 10:35:54.8980,42.21
2022-11-15 10:35:54.9080,42.21
2022-11-15 10:35:54.9180,42.21
2022-11-15 10:35:54.9280,42.21
2022-11-15 10:35:54.9340,38.4926872253418
2022-11-15 10:35:54.9380,38.49
2022-11-15 10:35:54.9780,38.49
2022-11-15 10:35:54.9780,38.49
2022-11-15 10:35:54.9780,38.49
2022-11-15 10:35:54.9780,38.49
2022-11-15 10:35:54.9870,38.49
2022-11-15 10:35:54.9970,38.49
2022-11-15 10:35:55.0070,38.49
2022-11-15 10:35:55.0170,38.49
2022-11-15 10:35:55.0270,38.49
2022-11-15 10:35:55.0340,34.490509033203125
2022-11-15 10:35:55.0370,34.49
2022-11-15 10:35:55.0770,34.49
2022-11-15 10:35:55.0780,34.49
2022-11-15 10:35:55.0780,34.49
2022-11-15 10:35:55.0780,34.49
2022-11-15 10:35:55.0870,34.49
2022-11-15 10:35:55.0960,34.49
2022-11-15 10:35:55.1060,34.49
2022-11-15 10:35:55.1160,34.49
2022-11-15 10:35:55.1260,34.49
2022-11-15 10:35:55.1340,30.880481719970703
2022-11-15 10:35:55.1360,30.88
2022-11-15 10:35:55.1760,30.88
2022-11-15 10:35:55.1760,30.88
2022-11-15 10:35:55.1770,30.88
2022-11-15 10:35:55.1770,30.88
2022-11-15 10:35:55.1860,30.88
2022-11-15 10:35:55.1960,30.88
2022-11-15 10:35:55.2060,30.88
2022-11-15 10:35:55.2160,30.88
2022-11-15 10:35:55.2260,30.88
2022-11-15 10:35:55.2340,28.263065338134766
2022-11-15 10:35:55.2360,28.26
2022-11-15 10:35:55.2770,28.26
2022-11-15 10:35:55.2770,28.26
2022-11-15 10:35:55.2770,28.26
2022-11-15 10:35:55.2780,28.26
2022-11-15 10:35:55.2850,28.26
2022-11-15 10:35:55.2950,28.26
2022-11-15 10:35:55.3050,28.26
2022-11-15 10:35:55.3150,28.26
2022-11-15 10:35:55.3250,28.26
2022-11-15 10:35:55.3340,25.445220947265625
2022-11-15 10:35:55.3350,25.45
2022-11-15 10:35:55.3450,25.45
2022-11-15 10:35:55.3750,25.45
2022-11-15 10:35:55.3760,25.45
2022-11-15 10:35:55.3760,25.45
2022-11-15 10:35:55.3840,25.45
2022-11-15 10:35:55.3940,25.45
2022-11-15 10:35:55.4040,25.45
2022-11-15 10:35:55.4140,25.45
2022-11-15 10:35:55.4240,25.45
2022-11-15 10:35:55.4340,23.431549072265625
2022-11-15 10:35:55.4340,23.43
2022-11-15 10:35:55.4440,23.43
2022-11-15 10:35:55.4760,23.43
2022-11-15 10:35:55.4760,23.43
2022-11-15 10:35:55.4770,23.43
2022-11-15 10:35:55.4840,23.43
2022-11-15 10:35:55.4940,23.43
2022-11-15 10:35:55.5040,23.43
2022-11-15 10:35:55.5140,23.43
2022-11-15 10:35:55.5240,23.43
2022-11-15 10:35:55.5340,23.43
2022-11-15 10:35:55.5340,25.79254150390625
2022-11-15 10:35:55.5430,25.79
2022-11-15 10:35:55.5780,25.79
2022-11-15 10:35:55.5780,25.79
2022-11-15 10:35:55.5790,25.79
2022-11-15 10:35:55.5830,25.79
